zip,city,county,state,timezone,type
64192,Hullport,Me County,OH,-10,PO BOX
47431,New Donald,Challenge County,NC,-3,PO BOX
99565,New Laurenside,Season County,IL,-3,PO BOX
79393,West Corey,Back County,MI,-7,UNIQUE
90152,Thomasville,Health County,TX,-6,STANDARD
57408,Cherylborough,Old County,NY,-1,PO BOX
63023,Grimesview,Assume County,NC,-1,STANDARD
72420,North Jenniferfurt,See County,IL,-9,UNIQUE
88077,New Tristanmouth,Either County,NY,-5,PO BOX
96220,Janeland,Cut County,NC,-9,PO BOX
74885,East Linda,Change County,OH,-5,UNIQUE
71671,Davismouth,Type County,FL,-2,PO BOX
67077,Rodriguezside,Film County,GA,-2,PO BOX
93111,New Marvinside,Democrat County,CA,-2,STANDARD
79561,Seanfurt,Free County,NY,-4,UNIQUE
75952,West Ivan,Term County,CA,-1,PO BOX
24976,New Tinaview,Maybe County,PA,-7,UNIQUE
09556,Lake Katherineberg,Wind County,PA,-9,STANDARD
05565,Lake Sandraside,Result County,MI,-7,STANDARD
51788,Aimeebury,Time County,TX,-2,PO BOX
28707,Rileymouth,Mind County,NY,-9,PO BOX
87040,Christopherville,Message County,NC,-3,STANDARD
77450,Meganbury,Admit County,IL,-2,PO BOX
96378,Davebury,Hot County,NY,-2,PO BOX
22846,Ronaldton,Blood County,NC,-7,UNIQUE
19684,North Lisa,Protect County,NC,-1,PO BOX
70519,North Davidborough,Police County,GA,-9,UNIQUE
75992,South Christopherville,Although County,OH,-5,UNIQUE
79865,East Susanburgh,Serious County,FL,-6,STANDARD
16740,Clarkton,Write County,FL,-8,STANDARD
89544,New Ronaldville,Thing County,MI,-6,PO BOX
34569,East Charlesport,Hard County,NY,-9,UNIQUE
57657,North William,Among County,TX,-8,STANDARD
78683,Lake Vanessaborough,Ever County,NY,-2,UNIQUE
47497,Masseyshire,Condition County,OH,-2,PO BOX
91949,Port Brian,Require County,NC,-7,STANDARD
21237,West Alyssa,Buy County,MI,-4,UNIQUE
78723,Wadetown,Market County,IL,-3,PO BOX
89797,Mcculloughhaven,Whose County,PA,-9,PO BOX
41322,Paulview,Class County,MI,-9,PO BOX
73979,South Judithmouth,Single County,MI,-5,STANDARD
06490,Dennisfort,He County,FL,-10,UNIQUE
80472,Emilyshire,Your County,IL,-9,UNIQUE
83567,Lake Kyle,Smile County,FL,-5,STANDARD
54819,North Brookemouth,Collection County,PA,-4,STANDARD
31881,Lake Shane,See County,NY,-8,UNIQUE
88814,Johnsonshire,Kid County,FL,-10,UNIQUE
87296,East Seanview,Science County,NC,-1,UNIQUE
